"","site","provenience","group.prov","site.prov","C14.mean","C14.sd","C14.cv","uncal.date.bp","lab.num","attribution","material","calib.curve"
"94","Antolinako","Lmbk inf/Smk","Lmbk inf/Smk","Antolinako Lmbk inf/Smk",29990,230,0.008,"29990±230","GrA-23898","evolved Aurignacian","charcoal","intcal13"
"95","Antolinako","Lmbk inf/Smk","Lmbk inf/Smk","Antolinako Lmbk inf/Smk",30640,240,0.008,"30640±240","Beta-251304","evolved Aurignacian","Bone","intcal13"
"96","Antolinako","Lmbk sup","Lmbk sup","Antolinako Lmbk sup",26080,200,0.008,"26080±200","Beta-215542","Gravetian","bone","intcal13"
"97","Antolinako","Lmbk sup","Lmbk sup","Antolinako Lmbk sup",26710,180,0.007,"26710±180","Beta-230282","Gravetian","bone","intcal13"
"98","Antolinako","Lmbk sup","Lmbk sup","Antolinako Lmbk sup",26720,180,0.007,"26720±180","Beta-251299","Gravetian","bone","intcal13"
"99","Antolinako","Lmbk sup","Lmbk sup","Antolinako Lmbk sup",27100,190,0.007,"27100±190","Beta-251300","Gravetian","bone","intcal13"
"100","Antolinako","Lmbk sup","Lmbk sup","Antolinako Lmbk sup",27390,320,0.012,"27390±320","GrN-23786","Gravetian","bone","intcal13"
"101","Antolinako","Lmbk sup","Lmbk sup","Antolinako Lmbk sup",27520,190,0.007,"27520±190","Beta-230279","Gravetian","bone","intcal13"
"102","Antolinako","Lmc","Lmc","Antolinako Lmc",19020,120,0.006,"19020±120","Beta-230284","upper Solutrean","bone","intcal13"
"103","Antolinako","Lmc","Lmc","Antolinako Lmc",19280,120,0.006,"19280±120","GrN-23785","upper Solutrean","bone","intcal13"
"104","Anton Koba","VIII","VIII","Anton Koba VIII",11700,180,0.015,"11700±180","I-17479","Azilian","bone","intcal13"
"105","Anton Koba","VIII","VIII","Anton Koba VIII",11800,330,0.028,"11800±330","I-16236","Azilian","bone","intcal13"
"106","Arangas","2B","2B","Arangas 2B",8025,80,0.01,"8025±80","OxA-7160","Mesolithic","bone","intcal13"
"107","Arangas","3","3","Arangas 3",8195,60,0.007,"8195±60","OxA-7149","Mesolithic","bone","intcal13"
"108","Arangas","3","3","Arangas 3",8300,50,0.006,"8300±50","OxA-6887","Mesolithic","charcoal","intcal13"
"109","Arangas","4","4","Arangas 4",8280,55,0.007,"8280±55","OxA-6888","Mesolithic","charcoal","intcal13"
"110","Arangas","E2","E2","Arangas E2",7150,470,0.066,"7150±470","UBAR-465","Mesolithic","charcoal","intcal13"
"111","Arenaza","?","?","Arenaza ?",11690,450,0.038,"11690±450",NA,"Azilian","charcoal","intcal13"
"112","Arenaza","I","I","Arenaza I",10160,400,0.039,"10160±400","CSIC-173","Azilian",NA,"intcal13"
"113","Arenaza","II","II","Arenaza II",9600,180,0.019,"9600±180",NA,"Azilian","charcoal","intcal13"
"114","Arenaza","III","III","Arenaza III",10300,180,0.017,"10300±180","CSIC-174","Azilian","charcoal","intcal13"
"115","Arenillas","conchero","conchero","Arenillas conchero",6455,60,0.009,"6455±60","UBAR-775","Mesolithic","shell","marine13"
