,site,prov,site.prov,area.exc,mean.thick,vol.exc,lvd,total.lithics,total.ret,retouch.freq,period,industry,IGP,Ib/b,elev.modern,dist.coast.modern,dist.coast.lgm,lon,lat
37,Cueto de la Mina,E 1 + 2,Cueto de la Mina E 1 + 2,NA,NA,NA,NA,NA,242,NA,Solutrean,Solutrean,NA,5,30,1.74476897657877,10.3497309214086,-4.85349,43.42556
38,Cueto de la Mina,E 3 + 4,Cueto de la Mina E 3 + 4,NA,NA,NA,NA,NA,171,NA,Solutrean,Solutrean,NA,5.3,30,1.74476897657877,10.3497309214086,-4.85349,43.42556
39,Cueto de la Mina,F,Cueto de la Mina F,NA,NA,NA,NA,NA,117,NA,Solutrean,Solutrean,NA,1.7,30,1.74476897657877,10.3497309214086,-4.85349,43.42556
40,Cueva Oscura,Solutrean,Cueva Oscura Solutrean,NA,NA,NA,NA,NA,167,NA,Solutrean,Solutrean,NA,1.8,63,2.13961999658788,12.8072094207756,-5.77682,43.57222
41,Ekain,II,Ekain II,4.5,1,4.5,262.444444444444,1181,177,0.149872988992379,Azilian,Azilian,NA,70.7,165,14.3883527256031,27.5264426389067,-5.5604480481167,43.2361111111111
42,Ekain,III,Ekain III,16.5,0.13,2.145,790.20979020979,1695,251,0.148082595870207,Azilian,Azilian,NA,66.6,165,14.3883527256031,27.5264426389067,-5.5604480481167,43.2361111111111
43,Ekain,IV,Ekain IV,16.41,0.07,1.1487,811.351963088709,932,123,0.131974248927039,Azilian,Azilian,NA,54.8,165,14.3883527256031,27.5264426389067,-5.5604480481167,43.2361111111111
44,Ekain,V,Ekain V,14.3,0.06,0.858,740.09324009324,635,93,0.146456692913386,Azilian,Azilian,NA,37.6,165,14.3883527256031,27.5264426389067,-5.5604480481167,43.2361111111111
45,Ekain,VI (all),Ekain VI (all),16.2,0.23,3.726,982.555018786903,3661,488,0.133296913411636,U Magdalenian,U Magdalenian,NA,48.7,165,14.3883527256031,27.5264426389067,-5.5604480481167,43.2361111111111
46,Ekain,VIa,Ekain VIa,16.2,0.1,1.62,786.41975308642,1274,170,0.133437990580848,U Magdalenian,U Magdalenian,NA,43.6,165,14.3883527256031,27.5264426389067,-5.5604480481167,43.2361111111111
47,Ekain,VIb,Ekain VIb,16.2,0.16,2.592,588.734567901235,1526,203,0.13302752293578,U Magdalenian,U Magdalenian,NA,51.4,165,14.3883527256031,27.5264426389067,-5.5604480481167,43.2361111111111
48,Ekain,VIc,Ekain VIc,NA,NA,NA,NA,NA,44,NA,U Magdalenian,U Magdalenian,NA,45.5,165,14.3883527256031,27.5264426389067,-5.5604480481167,43.2361111111111
49,Ekain,VId,Ekain VId,NA,NA,NA,NA,NA,71,NA,U Magdalenian,U Magdalenian,NA,54.7,165,14.3883527256031,27.5264426389067,-5.5604480481167,43.2361111111111
